,_unit_id,_golden,_unit_state_x,_trusted_judgments,_last_judgment_at_x,violence_judgment,violence,violence_confidence,protest_judgment_x,protest,protest_confidence,created_at,id,proccd_text,Fatma_protest,Fatma_violence,clean_text
13,1657977953,False,finalized,3,3/30/2018 15:19:48,"""nan""",0.0,1.0,"""000""",0,1.0,Fri Jun 07 09:34:14 +0000 2013,3.43e+17,rt usrId borsa istanbul chapulled by httpAddress httpAddress its loses reached to 16 since chapullers chapulled !,0,0,borsa chapulled loses reached since chapullers chapulled
14,1657977954,False,finalized,3,3/30/2018 15:00:58,"""110""",1.0,0.6769,"""111""",1,1.0,Wed Jun 12 23:29:49 +0000 2013,3.45e+17,rt usrId police detaining protestors in #direnankara httpAddress residents being asked to open httpAddress doors to those needing to hid,1,1,police detaining protestors residents asked open doors needing hid
15,1657977955,False,finalized,3,3/30/2018 15:02:31,"""nan""",0.0,1.0,"""000""",0,1.0,Fri Jun 14 22:17:56 +0000 2013,3.46e+17,guess everybody forgot london riots in 2011 ! and its host !! httpAddress,0,0,guess everybody forgot london riots host
16,1657977956,False,finalized,3,04/05/18 11:50,"""11""",1.0,0.625,"""101""",1,0.625,Sun Jun 16 11:41:34 +0000 2013,3.46e+17,cbs riot police rush to crush renewed turkey protests httpAddress #news,1,1,cbs riot police rush crush renewed news
17,1657977957,False,finalized,3,04/06/18 14:51,"""000""",0.0,1.0,"""111""",1,1.0,Sat Jun 08 20:22:27 +0000 2013,3.43e+17,rt usrId welcome to the revolution ntv ! #occupygezi httpAddress #occupygezi #occupyturkey #revolution #turkey,1,0,welcome revolution ntv occupyturkey revolution
18,1657977959,False,finalized,3,3/30/2018 14:50:39,"""00""",0.0,0.6594,"""011""",1,0.6594,Wed Jun 19 14:10:02 +0000 2013,3.47e+17,akp genius created standing men standing against standing httpAddress #duranadam,0,0,akp genius created standing men standing standing duranadam
19,1657977960,False,finalized,3,3/30/2018 15:00:58,"""0""",0.0,0.0,"""100""",0,0.6496,Sun Jun 02 18:24:59 +0000 2013,3.41e+17,rt usrId all solidarity with the turkish protesters in #turkey though the turkish regime should learn from its neighbors in mideast,1,0,solidarity though regime learn neighbors mideast
20,1657977961,False,finalized,3,3/30/2018 15:24:54,"""000""",0.0,1.0,"""111""",1,1.0,Tue Jun 11 19:31:33 +0000 2013,3.45e+17,rt usrId the world is watching httpAddress be strong ! #occupygezi,1,0,world watching strong
21,1657977964,False,finalized,3,3/30/2018 15:00:03,"""nan""",0.0,1.0,"""000""",0,1.0,Wed Jun 19 07:13:56 +0000 2013,3.47e+17,rt usrId my brother s just fucked off to turkey with his slam peice that prick can go on holiday but i can t #jokes,0,0,brother fucked slam peice prick go holiday jokes
22,1657977966,False,finalized,3,04/07/18 08:38,"""nan""",0.0,1.0,"""000""",0,1.0,Mon Jun 24 14:58:59 +0000 2013,3.49e+17,#kiralkkatilahmetahbaz is the name of the cop who shot and killed an unarmed protester in turkey and got released in httpAddress,1,1,kiralkkatilahmetahbaz name cop shot killed unarmed protester got released
23,1657977968,False,finalized,3,3/30/2018 15:21:39,"""00""",0.0,0.672,"""110""",1,0.672,Sun Jun 09 17:49:42 +0000 2013,3.44e+17,rt usrId hi everyone we re closing down our live blog for httpAddress as a volunteer collective we can t keep up this rate of,0,0,hi everyone closing live blog volunteer collective keep rate
24,1657977969,False,finalized,3,04/07/18 08:31,"""0""",0.0,0.0,"""100""",0,0.6767,Tue Jun 18 11:47:49 +0000 2013,3.47e+17,new form of protest in turkey standing silently httpAddress,1,0,new form standing silently
25,1657977970,False,finalized,3,04/05/18 11:50,"""110""",1.0,0.6875,"""111""",1,1.0,Fri May 31 14:35:57 +0000 2013,3.4e+17,protesters blocking bulldozers tear gassed in istanbul httpAddress #direngezipark,1,1,blocking bulldozers tear gassed
26,1657977971,False,finalized,3,3/30/2018 14:53:42,"""000""",0.0,1.0,"""111""",1,1.0,Sat Jun 01 05:59:18 +0000 2013,3.41e+17,rt usrId washington post a guide to what is happening at gezi park httpAddress,0,0,washington post guide happening
27,1657977973,False,finalized,3,3/30/2018 14:58:05,"""0""",0.0,0.0,"""001""",0,0.6757,Tue Jun 18 18:00:04 +0000 2013,3.47e+17,status update from turkey DD hours ago many reporters eu ministers and others commenting on the situation httpAddress httpAddress,0,0,status update hours ago many reporters eu ministers others commenting situation
28,1657977974,False,finalized,3,3/30/2018 15:33:35,"""1""",0.0,0.0,"""001""",0,0.6667,Tue Jun 04 22:19:42 +0000 2013,3.42e+17,paulocoelho shame on us tear gas used in turkey against demonstrators is made in brasil usrId httpAddress,0,1,paulocoelho shame us tear gas used demonstrators made brasil
29,1657977975,False,finalized,3,3/30/2018 15:28:45,"""0""",0.0,0.0,"""010""",0,0.6676,Mon Jun 17 16:51:46 +0000 2013,3.47e+17,ifj journalists call for international action to end crackdown on media in turkey httpAddress,0,0,ifj journalists call international action end crackdown media
31,1657977978,False,finalized,3,3/30/2018 15:00:58,"""0""",0.0,0.0,"""100""",0,0.6496,Mon Jun 03 21:40:27 +0000 2013,3.42e+17,rt usrId turkey premier says protests will not stop plans to demolish park httpAddress,1,0,premier says stop plans demolish
32,1657977979,False,finalized,3,3/30/2018 15:24:54,"""00""",0.0,0.6622,"""110""",1,0.6622,Wed Jun 12 21:33:22 +0000 2013,3.45e+17,rt usrId whoever thought of this piano concert is a httpAddress tensions diffused and #taksim back to httpAddress #istanbul httpAddress,0,0,whoever thought piano concert tensions diffused back
34,1657977981,False,finalized,3,3/30/2018 15:24:33,"""nan""",0.0,1.0,"""000""",0,1.0,Sat Jun 01 06:10:33 +0000 2013,3.41e+17,#turkey update turkey braces for second day of httpAddress parts of #instambul closed httpAddress httpAddress,0,0,update braces second day parts instambul closed
36,1657977983,False,finalized,3,04/06/18 13:18,"""1""",0.0,0.0,"""010""",0,0.6738,Fri May 31 23:17:31 +0000 2013,3.41e+17,protests in istanbul turkey photographs of turkish police using tear gas and water cannon to disperse httpAddress httpAddress,1,1,photographs police using tear gas water cannon disperse
37,1657977984,False,finalized,3,04/07/18 08:48,"""nan""",0.0,1.0,"""000""",0,1.0,Sat Jun 22 22:01:42 +0000 2013,3.49e+17,muffy vanderbear dressed as pilgrim and turkey complete DD thanksgiving httpAddress httpAddress #bear #muffy,0,0,muffy vanderbear dressed pilgrim complete thanksgiving bear muffy
38,1657977985,False,finalized,3,3/30/2018 15:01:20,"""000""",0.0,1.0,"""111""",1,1.0,Sat Jun 08 05:37:01 +0000 2013,3.43e+17,rt usrId well this was httpAddress penguins join #occupygezi stencils coming out of gezi are httpAddress httpAddress usrId httpAddress,0,0,well penguins join stencils coming
39,1657977986,False,finalized,3,04/07/18 08:48,"""nan""",0.0,1.0,"""000""",0,1.0,Sun Jun 09 10:33:58 +0000 2013,3.44e+17,rt usrId erdogan continues to speak as if he s an opponent and not the pm of those in the squares also which is why they re the,1,0,erdogan continues speak opponent squares also
40,1657977987,False,finalized,3,04/06/18 12:05,"""nan""",0.0,1.0,"""000""",0,1.0,Fri Jun 07 22:12:47 +0000 2013,3.43e+17,usrId got to be in it to win it lol if u win it drinks in u in turkey,0,0,got win lol u win drinks u
41,1657977988,False,finalized,3,3/30/2018 15:05:25,"""1""",0.0,0.0,"""100""",0,0.644,Mon Jun 10 02:06:18 +0000 2013,3.44e+17,rt usrId in #istanbul reporting for httpAddress activists reporting pressure from police will launch live should anything httpAddress httpAddress,0,0,reporting activists reporting pressure police launch live anything
42,1657977990,False,finalized,3,3/30/2018 15:24:54,"""nan""",0.0,1.0,"""000""",0,1.0,Thu Jun 06 17:18:57 +0000 2013,3.43e+17,rt usrId live #taksim square now on air 3D2692132DD1686016 thu jun DD 17 19 05 00 2013 turkey sandwiches get old after a week !! #ohwell 3D2692168110059520 thu jun DD 17 19 1D 00 2013 my famous breakfast beast wich ! D egg whites D pieces of turkey bacon on a whole wheat httpAddress httpAddress,0,0,live square air sandwiches get old week ohwell famous breakfast beast wich egg whites pieces bacon whole wheat
43,1657977991,False,finalized,3,04/06/18 11:43,"""10""",1.0,0.3412,"""110""",1,0.6645,Tue Jun 11 18:30:17 +0000 2013,3.45e+17,rt usrId i think this is the last pic i managed to httpAddress see gas cloud landing in the middle of crowded httpAddress #occupygezi httpAddress,0,1,think last pic managed see gas cloud landing middle crowded
44,1657977993,False,finalized,3,3/30/2018 15:14:33,"""000""",0.0,1.0,"""111""",1,1.0,Mon Jun 03 14:38:11 +0000 2013,3.42e+17,rt usrId spartacus has arrived gezipark ! httpAddress #occupygezi via usrId,0,0,spartacus arrived gezipark via
45,1657977994,False,finalized,3,3/30/2018 15:05:25,"""nan""",0.0,1.0,"""000""",0,1.0,Mon Jun 03 11:08:23 +0000 2013,3.42e+17,updates on turkey and what you can do from amnesty international httpAddress,0,0,updates amnesty international
46,1657977995,False,finalized,3,3/30/2018 15:28:45,"""nan""",0.0,1.0,"""000""",0,1.0,Mon Jun 17 12:12:47 +0000 2013,3.47e+17,rt usrId here s the pro erdogan newspaper yeni afak today with a messages on its front page in english httpAddress,0,0,pro erdogan newspaper yeni afak today messages front page english
47,1657977996,False,finalized,3,04/07/18 08:38,"""nan""",0.0,1.0,"""000""",0,1.0,Tue Jun 25 13:25:44 +0000 2013,3.5e+17,#bumpshowmeetbieber stanbul turkey x301,0,0,bumpshowmeetbieber stanbul x
49,1657977998,False,finalized,3,04/05/18 11:50,"""01""",1.0,0.3125,"""101""",1,0.625,Sun Jun 16 19:34:30 +0000 2013,3.46e+17,rt usrId #istanbul #protestors holding their ground despite organized #attacks by the #police and #fascist httpAddress no retreating,1,1,protestors holding ground despite organized attacks police fascist retreating
50,1657977999,False,finalized,3,04/06/18 11:46,"""nan""",0.0,1.0,"""000""",0,1.0,Thu Jun 13 19:13:19 +0000 2013,3.45e+17,rt usrId i gotta httpAddress a pretty tough critic but usrId summer menu is spot on ! the turkey burger is awesome !,0,0,gotta pretty tough critic summer menu spot burger awesome
51,1657978001,False,finalized,3,04/06/18 12:19,"""nan""",0.0,1.0,"""000""",0,1.0,Mon Jun 17 12:43:13 +0000 2013,3.47e+17,rt usrId stopped reading davutoglu s oped at all segments of our society enjoy their basic rights under the rule of httpAddress httpAddress,0,0,stopped reading davutoglu oped segments society enjoy basic rights rule
52,1657978002,False,finalized,3,3/30/2018 15:31:17,"""nan""",0.0,1.0,"""000""",0,1.0,Thu Jun 06 05:37:04 +0000 2013,3.43e+17,randy david explains turkey today in a nutshell httpAddress usrId,0,0,randy david explains today nutshell
53,1657978003,False,finalized,3,3/30/2018 14:53:42,"""nan""",0.0,1.0,"""000""",0,1.0,Wed Jun 05 08:16:50 +0000 2013,3.42e+17,rt usrId a friend in istanbul asked a policeman about the taping of id httpAddress they order us to do things and we get prosecut,0,0,friend asked policeman taping id order us things get prosecut
54,1657978004,False,finalized,3,3/30/2018 15:21:39,"""nan""",0.0,1.0,"""000""",0,1.0,Sat Jun 01 19:26:36 +0000 2013,3.41e+17,rt usrId #pleasehelpturkey #prayforturkey don t ignore them bc they aren t the usa pls pray for them and help them,0,0,pleasehelpturkey prayforturkey ignore bc usa pls pray help
55,1657978005,False,finalized,3,3/30/2018 15:19:48,"""nan""",0.0,1.0,"""000""",0,1.0,Wed Jun 12 21:25:32 +0000 2013,3.45e+17,usrId get your arse back from turkey i miss you already !! we should be whatsapp ing !! httpAddress,0,0,get arse back miss already whatsapp ing
56,1657978006,False,finalized,3,3/30/2018 15:04:47,"""000""",0.0,1.0,"""111""",1,1.0,Thu Jun 13 18:53:44 +0000 2013,3.45e+17,rt usrId #turkey prime minister erdogan to meet protesters at 20 00 gmt over plans to redevelop istanbul s #gezi park httpAddress,0,0,prime minister erdogan meet gmt plans redevelop
57,1657978007,False,finalized,3,3/30/2018 15:24:33,"""nan""",0.0,1.0,"""000""",0,1.0,Thu Jun 20 22:40:35 +0000 2013,3.48e+17,rt usrId it is a great pleasure to welcome my friend prime minister erdogan back to the httpAddress president obama httpAddress httpAddress,0,0,great pleasure welcome friend prime minister erdogan back president obama
58,1657978009,False,finalized,3,3/30/2018 15:09:17,"""110""",1.0,0.6581,"""111""",1,1.0,Sun Jun 16 10:41:39 +0000 2013,3.46e+17,rt usrId police detaining the doctors at ramada hotel for treating gezipark protestors 3462DD001152634880 sun jun DD DD 41 41 00 2013 turkey eu minister usrId tweets link saying people need to know that anyone entering taksim will be seen as a httpAddress jun DD DD 41 48 00 2013 her yer taksim her yer direni everywhere is taksim everywhere is httpAddress jun DD DD 41 48 00 2013 rt usrId letter to pm of #turkey from world medical association httpAddress DD millions doctors in the world httpAddress jun DD DD 41 56 00 httpAddress turkish protesters responding to every instance of police violence with acts of kindness amp ,0,0,police detaining doctors ramada hotel treating gezipark protestors eu minister tweets link saying people need know anyone entering seen yer yer direni everywhere everywhere letter world medical association millions doctors world responding every instance police violence acts kindness
59,1657978010,False,finalized,3,04/07/18 08:38,"""nan""",0.0,1.0,"""000""",0,1.0,Sat Jun 22 09:59:45 +0000 2013,3.48e+17,occupy turkey put humanity first way above class superiority because once people are reduced to the elite s httpAddress httpAddress,0,0,occupy put humanity first way class superiority people reduced elite
60,1657978012,False,finalized,3,3/30/2018 15:02:31,"""111""",1.0,1.0,"""111""",1,1.0,Wed Jun 12 18:49:45 +0000 2013,3.45e+17,usrId riot police fire water cannon at protester in wheelchair at #taksim httpAddress #occupygezi,1,1,riot police fire water cannon protester wheelchair
61,1657978013,False,finalized,3,04/06/18 14:25,"""001""",0.0,0.659,"""111""",1,1.0,Tue Jun 25 00:45:02 +0000 2013,3.49e+17,rt usrId D things you need to understand about #turkey s protests 349327D2076D706242 tue jun 2D 00 4D 4D 00 2013 rt usrId D things you need to understand about #turkey s protests 3493279793D4140672 tue jun 2D 00 47 3D 00 2013 rt usrId D things you need to understand about #turkey s protests 3493280D760307200 tue jun 2D 00 47 D3 00 2013 mariwanna92 are turkey burgers good ?? 34932837618982D026 tue jun 2D 00 49 09 00 2013 rt usrId D things you need to understand about #turkey s protests 3493286243919D8D28 tue jun 2D 00 D0 08 00 2013 rt usrId psst jim beam and wild turkey are better than the expensive craft whiskey you re drinking httpAddress jun 2D 00 D0 D8 00 2013 rt usrId D things you need to understand about #turkey s protests 349329270188937216 tue jun 2D 00 D2 42 00 2013 rt usrId D things you need to understand about #turkey s protests 349329D6422643302D tue jun 2D 00 D3 D2 00 2013 upside down ya turkey ! rt usrId got a nice package from usrId httpAddress jun 2D 00 DD 09 00 2013 i want some turkey httpAddress httpAddress jun 2D 00 DD D3 00 2013 save gezi park in istanbul stop the police violence in turkey ! the petition site httpAddress,1,0,things need understand things need understand things need understand mariwanna burgers good things need understand psst jim beam wild better expensive craft whiskey drinking things need understand things need understand upside ya got nice package want save stop police violence petition site
62,1657978014,False,finalized,3,3/30/2018 15:31:17,"""000""",0.0,1.0,"""111""",1,1.0,Fri May 31 17:38:01 +0000 2013,3.41e+17,the whole world is watching how peoples of turkey httpAddress government should watch out people now learn to resist ! httpAddress,0,0,whole world watching peoples government watch people learn resist
63,1657978015,False,finalized,3,3/30/2018 15:04:47,"""011""",1.0,0.6594,"""111""",1,1.0,Mon Jun 03 17:58:30 +0000 2013,3.42e+17,rt usrId police chopper circling over crowd of tens of thousands filling taksim square gezi httpAddress the gas has sent thousands httpAddress,1,0,police chopper circling crowd tens thousands filling square gas sent thousands
64,1657978016,False,finalized,3,3/30/2018 14:55:59,"""nan""",0.0,1.0,"""000""",0,1.0,Fri Jun 07 10:48:23 +0000 2013,3.43e+17,literally just sent the most boring text to usrId httpAddress do you fancy turkey burgers for lunch ? wtf am i turning into ?!,0,0,literally sent boring text fancy burgers lunch wtf turning
65,1657978017,False,finalized,3,04/06/18 11:46,"""0""",0.0,0.0,"""010""",0,0.6767,Thu Jun 20 00:38:27 +0000 2013,3.48e+17,httpAddress usrId many reports some live streams amp ,0,0,many reports live streams
66,1657978018,False,finalized,3,04/06/18 11:40,"""nan""",0.0,1.0,"""000""",0,1.0,Sun Jun 23 20:36:00 +0000 2013,3.49e+17,usrId v early cooked meal potatoes roast pot peas turkey burgers but just had dish of doritos not as good i know aww,0,0,v early cooked meal potatoes roast pot peas burgers dish doritos good know aww
67,1657978019,False,finalized,3,3/30/2018 15:00:58,"""000""",0.0,1.0,"""111""",1,1.0,Mon Jun 03 09:16:42 +0000 2013,3.41e+17,usrId i m trying D do my best as well tweeting in en about #occupygezi,0,0,trying best well tweeting en
69,1657978021,False,finalized,3,3/30/2018 15:00:03,"""000""",0.0,1.0,"""111""",1,1.0,Wed Jun 05 12:55:00 +0000 2013,3.42e+17,turkey unrest sparked by environment protest to save #gezi httpAddress in our latest usrId httpAddress,1,0,unrest sparked environment save latest
70,1657978022,False,finalized,3,04/06/18 13:18,"""010""",0.0,0.6738,"""111""",1,1.0,Wed Jun 05 16:47:01 +0000 2013,3.42e+17,usrId purchased 21 million teargas in DD yrs accumulating DD tons httpAddress #occupygezi httpAddress,0,0,purchased million teargas yrs accumulating tons
71,1657978023,False,finalized,3,3/30/2018 15:14:33,"""nan""",0.0,1.0,"""000""",0,1.0,Tue Jun 04 15:56:00 +0000 2013,3.42e+17,they might be giants play freebird live on httpAddress 18 . i know some httpAddress friends who enjoyed when istanbul was constantinople back in the httpAddress,0,0,might giants play freebird live know friends enjoyed constantinople back
72,1657978025,False,finalized,3,04/06/18 14:16,"""00""",0.0,0.6738,"""101""",1,0.6738,Wed Jun 19 06:43:28 +0000 2013,3.47e+17,inside istanbuls taksim square httpAddress jun DD 06 43 54 00 2013 rt usrId one of the most beautiful horse in the world in httpAddress httpAddress jun DD 06 44 32 00 2013 rt usrId i am in #oslo tomorrow time to stand still ! #turkey #wearegezi #turkeynotalone #duranadam 34724364935824588 wed jun DD 06 45 12 00 2013 rt usrId international group reporters without borders rsf rwb condemns violence against journalists at #occupygezi httpAddress jun DD 06 45 22 00 2013 gezi was all a conspiracy against me ! decries fuhrer erdogan turkish prime minister vows to httpAddress httpAddress jun DD 06 46 04 00 2013 rt usrId turkey s standing man joins ranks of history s iconic symbols of human drama httpAddress vw 347243983916896256 wed jun DD 06 46 31 00 2013 dozens held in turkey silent protester goes viral reuters share with friends top news stories rss .. httpAddress,1,0,inside istanbuls square one beautiful horse world oslo tomorrow time stand still wearegezi turkeynotalone duranadam international group reporters without borders rsf rwb condemns violence journalists conspiracy decries fuhrer erdogan prime minister vows standing man joins ranks history iconic symbols human drama vw dozens held silent protester goes viral reuters share friends top news stories rss
73,1657978026,False,finalized,3,04/06/18 11:43,"""nan""",0.0,1.0,"""000""",0,1.0,Fri Jun 14 08:10:16 +0000 2013,3.45e+17,rt usrId iran turkey relations 1979 2011 book reviews insight turkey httpAddress,0,0,iran relations book reviews insight
74,1657978028,False,finalized,3,3/30/2018 15:11:00,"""1""",0.0,0.0,"""010""",0,0.6606,Tue Jun 11 14:16:06 +0000 2013,3.44e+17,rt usrId gallery istanbul clashes intensify httpAddress #turkey,0,1,gallery clashes intensify
75,1657978029,False,finalized,3,3/30/2018 15:24:54,"""nan""",0.0,1.0,"""000""",0,1.0,Tue Jun 04 15:30:35 +0000 2013,3.42e+17,opinion recep tayyip erdogan and the turkey riots httpAddress,0,0,opinion recep tayyip erdogan riots
77,1657978032,False,finalized,3,04/06/18 12:45,"""100""",0.0,0.6648,"""111""",1,1.0,Wed Jun 12 17:19:29 +0000 2013,3.45e+17,#us coverage on #taksim #democracy #direngeziparki #occupytaksim #occupygezi #istanbul #turkey httpAddress,1,0,us coverage democracy occupytaksim
78,1657978033,False,finalized,3,3/30/2018 15:00:03,"""1""",0.0,0.0,"""010""",0,0.6617,Fri May 31 15:53:28 +0000 2013,3.4e+17,rt usrId call to world press istanbul needs httpAddress support against police terror and chemical httpAddress httpAddress,0,1,call world press needs support police terror chemical
79,1657978034,False,finalized,3,3/30/2018 15:16:10,"""00""",0.0,0.664,"""110""",1,0.664,Sat Jun 01 16:56:20 +0000 2013,3.41e+17,rt usrId social networking websites blocked in #turkey ! please spread their revolution !! #turkishspring httpAddress,0,0,social networking websites blocked please spread revolution turkishspring
80,1657978035,False,finalized,3,04/07/18 08:31,"""100""",0.0,0.6648,"""111""",1,1.0,Sat Jun 15 18:29:30 +0000 2013,3.46e+17,to everyone in taksim square what is happening ? #taksim #gezi #istanbul,1,0,everyone square happening
81,1657978036,False,finalized,3,3/30/2018 14:55:59,"""01""",0.0,0.3378,"""011""",1,0.6622,Tue Jun 11 11:11:01 +0000 2013,3.44e+17,usrId turkey protests riot police storm taksim square httpAddress httpAddress #nbb,1,1,riot police storm square nbb
82,1657978037,False,finalized,3,3/30/2018 15:05:25,"""nan""",0.0,1.0,"""000""",0,1.0,Sun Jun 09 15:52:55 +0000 2013,3.44e+17,rt usrId awake ! what to do now ? oh nothing damn i miss httpAddress,0,0,awake oh nothing damn miss
83,1657978038,False,finalized,3,3/30/2018 15:11:12,"""nan""",0.0,1.0,"""000""",0,1.0,Fri Jun 07 12:50:54 +0000 2013,3.43e+17,rt usrId httpAddress mt usrId erdogan says eu s hypocritical attitude discouraged tr s ambition to be a member httpAddress 70 support is,0,0,mt erdogan says eu hypocritical attitude discouraged tr ambition member support
84,1657978040,False,finalized,3,3/30/2018 15:26:50,"""0""",0.0,0.0,"""010""",0,0.672,Mon Jun 10 22:32:05 +0000 2013,3.44e+17,just commented on usrId young urban women the face of turkey amp ,0,0,commented young urban women face
85,1657978041,False,finalized,3,3/30/2018 15:21:39,"""0""",0.0,0.0,"""001""",0,0.672,Sun Jun 02 23:28:57 +0000 2013,3.41e+17,anonymous declares #opturkey attacks govt websites in support of protests rt news httpAddress,1,0,anonymous declares opturkey attacks govt websites support news
86,1657978043,False,finalized,3,3/30/2018 15:31:17,"""nan""",0.0,1.0,"""000""",0,1.0,Fri Jun 21 19:40:46 +0000 2013,3.48e+17,go brasil with love from istanbul rt usrId usrId usrId #changeturkey #changebrazil httpAddress,0,0,go brasil love changeturkey changebrazil
87,1657978044,False,finalized,3,3/30/2018 14:50:39,"""000""",0.0,1.0,"""111""",1,1.0,Mon Jun 17 21:49:53 +0000 2013,3.47e+17,rt usrId #duranadam 346746546869645312 mon jun DD 21 49 53 00 2013 rt usrId #duranadam taking a stand for citizens of #turkey #wearegezi #turkeynotalone 346746581858521088 mon jun DD 21 50 02 00 2013 rt usrId #duranadam is like a reverse flashmob powerful silent protest #turkey,1,0,duranadam mon duranadam taking stand citizens wearegezi turkeynotalone mon duranadam like reverse flashmob powerful silent
88,1657978045,False,finalized,3,04/07/18 08:31,"""nan""",0.0,1.0,"""000""",0,1.0,Thu Jun 13 18:14:29 +0000 2013,3.45e+17,usrId usrId when you start packing and you get that holiday feeling that makes you smile #turkey #sun #sand #beach,0,0,start packing get holiday feeling makes smile sand beach
89,1657978046,False,finalized,3,04/06/18 11:43,"""00""",0.0,0.6767,"""101""",1,0.6767,Sat Jun 08 21:25:49 +0000 2013,3.43e+17,rt usrId erdogan said youth should not bang on pots amp ,0,0,erdogan said youth bang pots
90,1657978047,False,finalized,3,3/30/2018 15:17:18,"""000""",0.0,1.0,"""111""",1,1.0,Tue Jun 18 20:42:09 +0000 2013,3.47e+17,just in httpAddress confuse #turkey with china says #akp spokesperson over draft bill on social httpAddress jun DD 20 42 15 00 2013 rt usrId another pic from the istanbul taksim square standing man protest #direnistanbul #duranadam #standingman httpAddress,1,0,confuse china says akp spokesperson draft bill social another pic square standing man direnistanbul duranadam standingman
91,1657978048,False,finalized,3,04/06/18 11:49,"""nan""",0.0,1.0,"""000""",0,1.0,Tue Jun 04 12:31:07 +0000 2013,3.42e+17,tuesday jun 4th soup of the day cream of broccoli or beef httpAddress roast turkey stuffing with mashed potatoes httpAddress httpAddress,0,0,tuesday th soup day cream broccoli beef roast stuffing mashed potatoes
92,1657978050,False,finalized,3,4/13/2018 10:37:34,"""nan""",0.0,1.0,"""000""",0,1.0,Mon Jun 10 22:27:48 +0000 2013,3.44e+17,i promised my buddy jose zapata to stop worrying about the situation in turkey for a httpAddress and to listen httpAddress httpAddress,0,0,promised buddy jose zapata stop worrying situation listen
